question,answer
All atoms of the same element have the same number of what?,protons
Why are goose feathers preferred for stuffing by manufacturers?,softness
What element is the sun mostly made up of?,hydrogen
What do increasing greenhouse gas concentrations in the air do to the earth's temperature?,raise it
"When animals use incubation, how do they generally give birth to their young?",eggs
What is the most useful quantity for counting particles?,the mole
The rate of decay of carbon-14 does what over time?,remains stable
Each enzyme has an optimal what at which its reaction rate is greatest?,temperature
Where is the potential energy of a river the highest at?,the source
What forms when there is a difference in temperature between the land and the air?,fog
"Which type of animal creates useful substances such as honey, wax, lacquer, and silk?",insects
Homes and transportation use what percent of all energy in the u.s.?,half (fifty)
New land can be created when what happens to a volcano?,it erupts
What will happen to sea levels due to increased global temperatures?,rise
What are responsible for the bending movements of the organelle?,dyneins
What kind of reproduction generates new individuals without fusion of an egg and sperm?,asexual
What process refers to a separation of charge within an atom or molecule?,polarization
All living things maintain a stable internal environment through what process?,homeostasis
What theory states that all organisms are made up of one or more cells?,the cell theory
Light emitted by atoms is polychromatic—containing more than one of these?,wavelength
What changes from heat or pressure during metamorphism?,minerals
What is the unit used to measure voltage?,volts
What causes rivers to always flow downhill?,gravity
What does the precise pattern of a crystal depend on?,compound
"Wind power, solar power, hydropower, and geothermal power are called renewable sources of energy or what other term?",alternative energy
"Chelicerata are know for their first pair of appendages, also know as what?",chelicerae
"More common in developing countries, parasitic diseases caused by roundworms often result from poor practice of what?",personal hygiene
What are mercury manometers often used to measure?,blood pressure
"Tropical rainforest, temperate grassland, and tundra are examples of what type of biomes?",terrestrial
"In artificial passive immunization, which items from an immune animal are injected into a nonimmune animal?",antibodies
What are the two classifications of natural resources?,renewable and nonrenewable
